PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is in sitemap,Canonical URL,Canonical URL code,Referenced in sitemaps,No. of all inlinks,recomendacao_ivoire,categoria_ivoire,severidade_ivoire
18,https://www.aviva.com.br/agenda,Agenda (Shows e Eventos) | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,https://www.aviva.com.br/agenda/,,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
18,https://www.aviva.com.br/residence-clubs,Residence Clubs | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,https://www.aviva.com.br/residence-clubs/,,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
18,https://www.aviva.com.br/conheca-a-aviva,Sobre a Aviva | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,https://www.aviva.com.br/institucional/aviva,,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
18,https://www.aviva.com.br/clube-de-ferias,Clube de Férias | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/clube-de-ferias,200,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
2,https://www.aviva.com.br/blog/praia-ou-piscina-vantagens-e-como-aproveitar-o-passeio,Praia ou piscina: vantagens e como aproveitar o passeio,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/praia-ou-piscina-vantagens-e-como-aproveitar-o-passeio,502,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
0,https://www.aviva.com.br/blog/programacao-costa-do-sauipe-para-julho-diversao-para-a-criancada,Programação Costa do Sauípe para julho: diversão para a criançada,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/programacao-costa-do-sauipe-para-julho-diversao-para-a-criancada,200,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
0,https://www.aviva.com.br/blog/nao-sabe-como-alugar-um-carro-confira-as-principais-dicas,Não sabe como alugar um carro? Confira as principais dicas,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/nao-sabe-como-alugar-um-carro-confira-as-principais-dicas,200,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
0,https://www.aviva.com.br/blog/conhea-a-costa-do-cacau-terra-do-chocolate-na-bahia,Páscoa na Bahia: uma viagem cheia de cores e sabores pela Costa do Cacau,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/conhea-a-costa-do-cacau-terra-do-chocolate-na-bahia,200,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
0,https://www.aviva.com.br/blog/look-para-ir-a-praia-cinco-opcoes-versateis-e-praticas,Look para ir à praia: cinco opções versáteis e práticas,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/look-para-ir-a-praia-cinco-opcoes-versateis-e-praticas,200,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
0,https://www.aviva.com.br/blog/aprenda-como-jogar-peteca-dicas-e-brincadeiras-para-a-familia,Aprenda como jogar peteca! Dicas e brincadeiras para a família,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/aprenda-como-jogar-peteca-dicas-e-brincadeiras-para-a-familia,200,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
